"dt","modelloop","model","n","av","sex","ind"
"09292022 231723",71,"av",300,0.00333333333333333,0,0
"09292022 231827",71,"ind",300,0,0,0.43
"09292022 231929",71,"sex",300,0.00333333333333333,0,0
"09292022 232032",71,"upd",300,0.00333333333333333,0,0.0933333333333333
"09292022 231723",72,"av",300,0,0,0.00333333333333333
"09292022 231826",72,"ind",300,0.00333333333333333,0,0.413333333333333
"09292022 231929",72,"sex",300,0.00666666666666667,0,0.00333333333333333
"09292022 232032",72,"upd",300,0,0.00333333333333333,0.09
"09292022 231723",73,"av",300,0,0.00333333333333333,0.00333333333333333
"09292022 231826",73,"ind",300,0,0.00333333333333333,0.443333333333333
"09292022 231929",73,"sex",300,0.00333333333333333,0.00333333333333333,0.00666666666666667
"09292022 232032",73,"upd",300,0,0.00333333333333333,0.05
"09292022 231723",74,"av",300,0.00333333333333333,0.00333333333333333,0
"09292022 231827",74,"ind",300,0.00333333333333333,0,0.346666666666667
"09292022 231930",74,"sex",300,0,0.00333333333333333,0.01
"09292022 232032",74,"upd",300,0,0.00333333333333333,0.0633333333333333
"09292022 231723",75,"av",300,0,0,0
"09292022 231826",75,"ind",300,0,0.00333333333333333,0.413333333333333
"09292022 231929",75,"sex",300,0,0,0
"09292022 232032",75,"upd",300,0,0,0.08
"09292022 231723",76,"av",300,0,0,0.00666666666666667
"09292022 231826",76,"ind",300,0,0,0.4
"09292022 231929",76,"sex",300,0.00666666666666667,0,0.00666666666666667
"09292022 232033",76,"upd",300,0.00666666666666667,0,0.0633333333333333
"09292022 231723",77,"av",300,0,0.00333333333333333,0.00333333333333333
"09292022 231826",77,"ind",300,0,0,0.446666666666667
"09292022 231929",77,"sex",300,0,0.0133333333333333,0.00333333333333333
"09292022 232032",77,"upd",300,0,0,0.0533333333333333
"09292022 231723",78,"av",300,0.00333333333333333,0,0.00333333333333333
"09292022 231827",78,"ind",300,0,0.00333333333333333,0.436666666666667
"09292022 231930",78,"sex",300,0.00333333333333333,0,0.00333333333333333
"09292022 232032",78,"upd",300,0.00333333333333333,0.00333333333333333,0.0666666666666667
"09292022 231723",79,"av",300,0,0,0.0133333333333333
"09292022 231827",79,"ind",300,0.00333333333333333,0.00333333333333333,0.386666666666667
"09292022 231930",79,"sex",300,0,0,0.00666666666666667
"09292022 232033",79,"upd",300,0.00333333333333333,0.00333333333333333,0.0766666666666667
"09292022 231723",80,"av",300,0.00333333333333333,0,0
"09292022 231826",80,"ind",300,0,0,0.436666666666667
"09292022 231929",80,"sex",300,0,0,0.00666666666666667
"09292022 232032",80,"upd",300,0,0,0.08
"09292022 232122",81,"av",300,0,0,0.00666666666666667
"09292022 232224",81,"ind",300,0.00333333333333333,0,0.323333333333333
"09292022 232327",81,"sex",300,0.00333333333333333,0.00666666666666667,0.00333333333333333
